epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,1502.3,1.46053,1.56004,1.48747,0.8478,0.6494,0.83514,0.65274,1.61594,1.63833,1.53338,0.000321875,0.000321875,0.000321875
77,1522.01,1.44766,1.54805,1.48124,0.7569,0.62768,0.777,0.55734,1.58981,1.61498,1.51318,0.0003095,0.0003095,0.0003095
78,1541.85,1.45372,1.54868,1.47976,0.78254,0.63589,0.79331,0.56786,1.60283,1.6352,1.51772,0.000297125,0.000297125,0.000297125
79,1561.46,1.4497,1.53728,1.47674,0.76883,0.63678,0.78343,0.55659,1.58656,1.62515,1.51135,0.00028475,0.00028475,0.00028475
80,1581.31,1.44632,1.54356,1.47766,0.74192,0.663,0.78841,0.55726,1.61183,1.62603,1.52337,0.000272375,0.000272375,0.000272375
81,1601.08,1.44676,1.52726,1.46824,0.78834,0.63433,0.79239,0.56143,1.59875,1.62363,1.52098,0.00026,0.00026,0.00026
82,1620.52,1.44325,1.53262,1.47379,0.76724,0.65455,0.79188,0.56128,1.58571,1.62345,1.51496,0.000247625,0.000247625,0.000247625
83,1640.14,1.43953,1.53544,1.4752,0.75133,0.64434,0.78283,0.55904,1.58883,1.62784,1.52131,0.00023525,0.00023525,0.00023525
84,1659.95,1.43857,1.52296,1.46773,0.78688,0.62192,0.78312,0.55423,1.60233,1.63572,1.52311,0.000222875,0.000222875,0.000222875
85,1679.5,1.42749,1.51059,1.45969,0.78499,0.64198,0.79779,0.56542,1.60052,1.61702,1.52141,0.0002105,0.0002105,0.0002105
86,1698.57,1.42671,1.4934,1.45758,0.79623,0.64131,0.7862,0.55054,1.61236,1.62475,1.53163,0.000198125,0.000198125,0.000198125
87,1718.11,1.4178,1.48101,1.443,0.78557,0.66124,0.79793,0.56332,1.61235,1.62672,1.52425,0.00018575,0.00018575,0.00018575
88,1737.62,1.42879,1.48805,1.44836,0.78389,0.65546,0.79632,0.55912,1.60795,1.62079,1.52003,0.000173375,0.000173375,0.000173375
89,1757.27,1.41782,1.47858,1.45243,0.79265,0.65232,0.78537,0.55793,1.5981,1.62736,1.51762,0.000161,0.000161,0.000161
90,1776.8,1.41486,1.48164,1.44384,0.7855,0.63858,0.7889,0.56252,1.61413,1.62526,1.52687,0.000148625,0.000148625,0.000148625
91,1797,1.40879,1.42944,1.45233,0.78158,0.66438,0.79437,0.56667,1.59529,1.61772,1.51666,0.00013625,0.00013625,0.00013625
92,1816.3,1.39771,1.42245,1.44625,0.81998,0.63735,0.79751,0.57088,1.60258,1.61155,1.52491,0.000123875,0.000123875,0.000123875
93,1835.67,1.39364,1.40919,1.44467,0.78273,0.65769,0.80063,0.57188,1.60455,1.61442,1.52619,0.0001115,0.0001115,0.0001115
94,1855.31,1.38021,1.39381,1.43479,0.77591,0.65115,0.79229,0.56783,1.61263,1.62684,1.52528,9.9125e-05,9.9125e-05,9.9125e-05
95,1874.72,1.38273,1.39127,1.43391,0.78046,0.67698,0.79649,0.56748,1.60863,1.6124,1.52206,8.675e-05,8.675e-05,8.675e-05
96,1894.1,1.37465,1.37983,1.43388,0.765,0.64907,0.79485,0.5676,1.60766,1.61493,1.52459,7.4375e-05,7.4375e-05,7.4375e-05
97,1913.55,1.37952,1.37074,1.42809,0.77793,0.65649,0.79003,0.5659,1.60681,1.62168,1.5208,6.2e-05,6.2e-05,6.2e-05
98,1933.07,1.38216,1.37159,1.42483,0.78705,0.64521,0.79222,0.56575,1.60483,1.6258,1.51598,4.9625e-05,4.9625e-05,4.9625e-05
99,1952.53,1.37099,1.36412,1.42185,0.77866,0.6548,0.79043,0.56462,1.6077,1.62616,1.51593,3.725e-05,3.725e-05,3.725e-05
100,1972.01,1.37274,1.36706,1.42135,0.78206,0.64721,0.78986,0.56378,1.60691,1.61703,1.51607,2.4875e-05,2.4875e-05,2.4875e-05
